x : 7.125660  y : -0.239924  deg : 164.405420
x : -nan  y : -nan  deg : -nan
x : 4.292425  y : 0.803349  deg : -2.975727
x : 4.297656  y : 0.850981  deg : -2.194557
x : 4.343683  y : 1.012382  deg : -2.226644
x : 4.382638  y : 1.048837  deg : -1.169264
x : 4.411887  y : 1.062796  deg : -1.749245
x : 4.412998  y : 1.084937  deg : -1.828651
x : 4.419865  y : 1.084706  deg : -1.605709
x : 4.424250  y : 0.925767  deg : 0.734759
x : 4.441282  y : 0.948320  deg : 0.578673
x : 4.427307  y : 0.886723  deg : 1.311155
x : 4.474263  y : 0.861434  deg : 1.520065
x : 4.514001  y : 0.960681  deg : -0.157286
x : 4.522768  y : 0.952614  deg : -0.570707
x : 4.534485  y : 0.967372  deg : -7.096670
x : 4.492667  y : 0.716878  deg : -2.301810
x : 4.485198  y : 0.594289  deg : -2.096904
x : 4.516855  y : 0.756286  deg : -4.000336
x : 4.630102  y : 1.096691  deg : -3.776833
x : 4.582854  y : 0.872193  deg : 0.181536
x : 4.545973  y : 0.657844  deg : -1.283240
x : 4.574922  y : 0.761757  deg : 1.711170
x : 4.674495  y : 1.071845  deg : -3.114678
x : 4.765035  y : 1.355848  deg : -8.489674
x : 4.749407  y : 1.331117  deg : -8.769090
x : 4.609418  y : 0.839429  deg : -1.155481
x : 4.751576  y : 1.317813  deg : -8.831289
x : 4.568986  y : 0.673199  deg : 1.399020
x : 4.594077  y : 0.736779  deg : 1.793686
x : 4.685743  y : 1.026625  deg : -3.210893
x : 4.689795  y : 1.018879  deg : -3.358330
x : 4.705184  y : 1.017819  deg : -3.166722
x : 4.731709  y : 1.008444  deg : -2.647810
x : 4.730955  y : 1.001002  deg : -2.774919
x : 4.778462  y : 1.136665  deg : -0.434525
x : 4.749088  y : 0.999665  deg : -2.592824
x : 4.800777  y : 1.134795  deg : -0.280084
x : 4.705913  y : 0.794464  deg : 0.940418
x : 4.684416  y : 0.675804  deg : 2.979409
x : 4.761838  y : 0.961015  deg : -1.779721
x : 4.786449  y : 0.921097  deg : -2.993841
x : 4.731226  y : 0.745322  deg : -0.094574
x : 4.805945  y : 0.934830  deg : -2.813606
x : 4.765353  y : 0.798512  deg : -0.616901
x : 4.740689  y : 0.792271  deg : -0.412431
x : 4.835159  y : 0.992763  deg : -2.665856
x : 4.797671  y : 0.756880  deg : -5.797992
x : 4.826122  y : 0.963489  deg : -3.386637
x : 4.784094  y : 0.773605  deg : -0.525848
x : 4.841328  y : 0.977253  deg : -3.691399
x : 4.808550  y : 0.964932  deg : -4.322638
x : 4.808668  y : 0.957367  deg : -5.198716
x : 4.801342  y : 1.017972  deg : -4.653652
x : 4.779591  y : 0.875487  deg : 0.541358
x : 4.806877  y : 1.010070  deg : -4.303559
x : 4.843474  y : 1.102294  deg : -2.499769
x : 4.843142  y : 0.992076  deg : -3.695878
x : 4.887894  y : 1.076429  deg : -2.579698
x : 4.849795  y : 0.998961  deg : -3.844340
x : 4.913863  y : 0.963228  deg : -2.583904
x : 4.985717  y : 1.080833  deg : -0.476339
x : 4.944744  y : 0.960260  deg : -2.947817
x : 4.929804  y : 0.954217  deg : -2.765237
x : 4.916022  y : 1.037194  deg : -2.588664
x : 4.926547  y : 1.108662  deg : -2.335491
x : 4.943253  y : 1.049098  deg : -2.692602
x : 4.932511  y : 1.035558  deg : -1.654240
x : 4.959276  y : 0.996013  deg : -2.386613
x : 4.965667  y : 0.995359  deg : -2.411155
x : 4.963011  y : 0.973366  deg : -2.520840
x : 5.023271  y : 1.098095  deg : -0.748667
x : 4.970079  y : 0.972648  deg : -3.297370
x : 5.030441  y : 1.097259  deg : -1.529391
x : 4.993089  y : 0.940432  deg : -3.617429
x : 5.009696  y : 0.923721  deg : -4.916203
x : 5.004907  y : 0.916704  deg : -5.267708
x : 5.024259  y : 0.907173  deg : -5.204173
x : 5.055011  y : 0.918884  deg : -5.078762
x : 5.066292  y : 0.895163  deg : -4.468538
x : 5.083172  y : 0.900800  deg : -4.912185
x : 5.160091  y : 1.080891  deg : -2.337208
x : 5.104808  y : 0.890874  deg : -5.353558
x : 5.148201  y : 1.025289  deg : -3.024701
x : 5.114968  y : 0.882227  deg : -5.253343
x : 5.193597  y : 1.033591  deg : -2.468619
x : 5.152482  y : 0.862903  deg : -4.608745
x : 5.240299  y : 1.090628  deg : -2.563822
x : 5.172255  y : 0.868033  deg : -3.564911
x : 5.266314  y : 1.093692  deg : -1.805349
x : 5.191146  y : 0.865740  deg : -3.380259
x : 5.217722  y : 0.899464  deg : -3.665152
x : 5.261492  y : 0.886339  deg : -3.684571
x : 5.274646  y : 0.913859  deg : -3.537201
x : 5.267183  y : 0.892920  deg : -3.594276
x : 5.274191  y : 0.935773  deg : -4.447403
x : 5.273596  y : 0.884710  deg : -4.228085
x : 5.289234  y : 0.882578  deg : -4.534342
x : 5.371738  y : 1.090549  deg : -8.285097
x : 5.415147  y : 1.076171  deg : -8.353791
x : 5.408747  y : 1.084162  deg : -8.454094
x : 5.447582  y : 1.204379  deg : -8.010658
x : 5.377823  y : 1.082625  deg : -10.684393
x : 5.394331  y : 1.065997  deg : -10.249813
x : 5.471772  y : 1.186618  deg : -7.642904
x : 5.434030  y : 1.031410  deg : -10.148022
x : 5.446612  y : 1.022260  deg : -10.068919
x : 5.462069  y : 1.033371  deg : -9.154714
x : 5.486519  y : 1.056404  deg : -9.046777
x : 5.505886  y : 1.039093  deg : -8.617487
x : 5.532480  y : 1.013496  deg : -8.579646
x : 5.538075  y : 1.019294  deg : -8.490685
x : 5.540715  y : 1.025635  deg : -9.138380
x : 5.992995  y : 1.755899  deg : -27.932199
x : 6.017466  y : 1.752544  deg : -28.226415
x : 6.029565  y : 1.752709  deg : -28.153204
x : 6.037773  y : 1.759984  deg : -26.389940
x : 6.098451  y : 1.737727  deg : -27.172577
x : 6.129994  y : 1.731237  deg : -26.793274
x : 6.155107  y : 1.729073  deg : -26.143902
x : 6.177843  y : 1.718536  deg : -27.073667
x : 6.151288  y : 1.695846  deg : -17.530536
x : 6.177765  y : 1.716276  deg : -25.534823
x : 6.216413  y : 1.704700  deg : -27.204488
x : 6.186410  y : 1.649863  deg : -14.543489
x : 6.256819  y : 1.676536  deg : -22.383533
x : 5.945192  y : 1.261586  deg : -2.048591
x : 5.846997  y : 1.095079  deg : -6.709187
x : 5.858779  y : 1.104629  deg : -6.788645
x : 5.973639  y : 1.270133  deg : -3.579694
x : 5.888157  y : 1.140409  deg : -6.619328
x : 5.863169  y : 1.071842  deg : -5.138504
x : 6.207522  y : 1.582758  deg : -10.694503
x : 6.302598  y : 1.649304  deg : -22.176626
x : 6.313088  y : 1.646487  deg : -22.055207
x : 6.276456  y : 1.577540  deg : -11.467501
x : 6.389343  y : 1.606963  deg : -20.184204
x : 6.411065  y : 1.590648  deg : -19.280872
x : 6.429115  y : 1.578988  deg : -19.897391
x : 6.449015  y : 1.562171  deg : -19.955872
x : 6.492982  y : 1.560573  deg : -21.250185
x : 6.494914  y : 1.556303  deg : -22.458464
x : 6.478404  y : 1.550815  deg : -22.294865
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 5.990652  y : 0.955362  deg : -3.429163
x : 5.989163  y : 1.012623  deg : -6.229039
x : 6.181497  y : 1.398922  deg : 1.429950
x : 6.155522  y : 1.472501  deg : -3.351386
x : 6.174712  y : 1.535141  deg : -4.815196
x : 6.142718  y : 1.565585  deg : -6.879026
x : 6.199619  y : 1.689265  deg : -20.926232
x : 6.074161  y : 1.567330  deg : -3.140165
x : 6.097975  y : 1.625909  deg : -7.274834
x : 6.115719  y : 1.720966  deg : -22.406322
x : 6.053222  y : 1.718703  deg : -22.689511
x : 6.034435  y : 1.728785  deg : -23.582783
x : 5.952715  y : 1.633331  deg : -8.332982
x : 5.984212  y : 1.701756  deg : -10.421530
x : 5.938381  y : 1.684531  deg : -10.251954
x : 5.993781  y : 1.781047  deg : -26.597476
x : 5.470566  y : 0.983206  deg : -6.241402
x : 5.481437  y : 1.184729  deg : -2.942238
x : 5.529558  y : 1.326520  deg : -0.233874
x : 5.423766  y : 0.855777  deg : -6.375528
x : 5.432530  y : 0.839978  deg : -5.866117
x : 1.850995  y : 1.138434  deg : 4.760959
x : 1.634761  y : 1.047627  deg : 2.403730
x : 1.609654  y : 1.083688  deg : 5.875227
x : 1.587329  y : 1.027889  deg : 1.643505
x : 1.561890  y : 1.041016  deg : 3.565007
x : 1.771632  y : 1.121339  deg : 4.793952
x : 5.256460  y : 0.812909  deg : -6.754516
x : 5.199932  y : 0.849750  deg : -6.381722
x : 5.149627  y : 0.885662  deg : -6.010957
x : 5.113863  y : 1.029673  deg : -3.634634
x : 5.091626  y : 1.068425  deg : -3.171392
x : 5.059011  y : 1.100972  deg : -2.523604
x : 5.064879  y : 1.121493  deg : -2.161564
x : 5.091263  y : 1.167060  deg : -2.111924
x : 5.074020  y : 1.183077  deg : -2.265222
x : 5.064593  y : 1.163522  deg : -3.122137
x : 5.053994  y : 1.171777  deg : -3.190248
x : 4.972713  y : 0.957471  deg : -0.051124
x : 5.040081  y : 1.187311  deg : -4.357176
x : 5.077957  y : 1.290160  deg : -5.822741
x : 5.126179  y : 1.410063  deg : -8.385234
x : 5.029546  y : 1.195476  deg : -3.172597
x : 4.957174  y : 0.996227  deg : -6.628543
x : 4.929923  y : 0.991530  deg : -6.648680
x : 4.896909  y : 0.972301  deg : -7.397501
x : 4.877314  y : 0.974090  deg : -7.574784
x : 4.936722  y : 1.247030  deg : -2.900751
x : 4.910138  y : 1.208826  deg : -3.366598
x : 4.976896  y : 1.441232  deg : -8.488970
x : 5.213116  y : 1.943977  deg : -18.147518
x : 5.195126  y : 1.942143  deg : -17.949392
x : 4.783358  y : 1.164721  deg : -3.654928
x : 4.762279  y : 1.173515  deg : -3.173089
x : 4.755278  y : 1.174075  deg : -3.142222
x : 4.736805  y : 1.161360  deg : -3.090474
x : 4.718870  y : 1.148471  deg : -3.291223
x : 4.711805  y : 1.163235  deg : -2.731782
x : 4.709194  y : 1.156313  deg : -2.860301
x : 4.698492  y : 1.149952  deg : -2.703791
x : 4.687165  y : 1.143596  deg : -2.294760
x : 4.659574  y : 1.109389  deg : -2.371852
x : 4.624043  y : 1.190339  deg : -3.172294
x : 4.595828  y : 1.149380  deg : -2.406674
x : 4.594459  y : 1.127867  deg : -2.074139
x : 4.597184  y : 1.120474  deg : -2.225602
x : 4.597348  y : 1.105930  deg : -2.255196
x : 4.594127  y : 1.076809  deg : -2.295002
x : 4.590970  y : 1.149656  deg : -0.636085
x : 4.518307  y : 0.945138  deg : 0.062520
x : 4.481619  y : 1.007737  deg : 0.517199
x : 4.523421  y : 1.160308  deg : -2.206427
x : 4.497236  y : 1.175735  deg : -2.304809
x : 4.491486  y : 1.161743  deg : -2.320804
x : 4.520542  y : 1.188844  deg : -2.364017
x : 4.529791  y : 1.152851  deg : -2.877193
x : 4.527117  y : 1.131391  deg : -3.294504
x : 4.533538  y : 1.159824  deg : -2.999439
x : 4.551848  y : 1.201396  deg : -1.959225
x : 4.517783  y : 1.210042  deg : -3.411930
x : 4.476182  y : 1.225751  deg : -3.180098
x : 4.500224  y : 1.238597  deg : -1.989251
x : -nan  y : -nan  deg : -nan
x : 4.475624  y : 1.280546  deg : -2.218090
x : 4.450887  y : 1.288183  deg : -2.698831
x : 4.468494  y : 1.205132  deg : -5.092293
x : 4.334260  y : 0.943912  deg : 0.560264
x : 4.328886  y : 0.959436  deg : 0.853491
x : 4.415168  y : 1.322587  deg : -2.501022
x : 4.373305  y : 1.356211  deg : -3.753398
x : 4.209793  y : 0.992015  deg : -0.417075
x : 4.191863  y : 0.999753  deg : 0.040043
x : 4.198742  y : 0.984516  deg : -0.020401
x : 4.213624  y : 0.915122  deg : -3.587144
x : 4.175765  y : 1.089240  deg : -0.898307
x : 4.201423  y : 0.930767  deg : -2.517955
x : 4.173073  y : 0.876442  deg : -2.399416
x : 4.161809  y : 0.868663  deg : -4.252398
x : 4.171160  y : 1.014981  deg : -2.346954
x : 4.127326  y : 0.868838  deg : -4.394984
x : 4.119992  y : 1.081896  deg : 1.669479
x : 4.132719  y : 1.125556  deg : 0.772588
x : 4.080973  y : 0.923457  deg : -0.758986
x : 4.108667  y : 1.030035  deg : -1.576149
x : 4.064592  y : 0.984649  deg : -2.797165
x : 4.008607  y : 0.836999  deg : 0.656625
x : 3.993323  y : 0.781133  deg : -0.781879
x : 4.040483  y : 0.884397  deg : 1.409091
x : 4.017906  y : 0.868579  deg : 1.695298
x : 4.058250  y : 1.117726  deg : -0.331259
x : 3.955558  y : 0.716219  deg : 0.207754
x : 4.011729  y : 0.961346  deg : -2.802241
x : 4.079986  y : 1.284319  deg : -0.140412
x : 4.032178  y : 1.088387  deg : -0.339140
x : 4.071438  y : 1.250666  deg : -0.908990
x : 4.015160  y : 1.102624  deg : -4.217024
x : 4.021624  y : 1.229254  deg : -2.170306
x : 3.963403  y : 0.922356  deg : -2.871021
x : 3.981148  y : 0.953304  deg : -2.344381
x : 4.010303  y : 1.080744  deg : -3.656760
x : 3.963360  y : 0.968235  deg : -2.488237
x : 3.945303  y : 0.975469  deg : -2.277022
x : 3.973113  y : 1.080013  deg : -3.263431
x : 3.897958  y : 0.944048  deg : -2.710439
x : 3.891104  y : 1.085032  deg : -5.542369
x : 3.798256  y : 0.729794  deg : -0.103306
x : 3.848256  y : 0.912149  deg : -2.891163
x : 3.842574  y : 0.934938  deg : -2.424046
x : 3.858718  y : 1.062173  deg : -4.385360
x : 3.821311  y : 0.957029  deg : 1.350237
x : 3.866507  y : 1.176075  deg : -1.632291
x : 3.791166  y : 0.879609  deg : -3.304410
x : 3.763543  y : 0.886388  deg : -2.817444
x : 3.800916  y : 1.088759  deg : 0.964166
x : 3.748645  y : 1.107576  deg : 0.147720
x : 3.713367  y : 1.077273  deg : -0.856854
x : 3.698773  y : 1.083581  deg : 0.110069
x : 3.682199  y : 0.943809  deg : -2.080094
x : 3.698187  y : 0.967017  deg : -1.669093
x : 3.652647  y : 1.066609  deg : -0.035043
x : 3.658730  y : 0.950124  deg : -1.595017
x : 3.660783  y : 1.052800  deg : 0.612175
x : 3.613658  y : 1.064113  deg : -0.636340
x : 3.570815  y : 1.075259  deg : -1.145532
x : 3.549848  y : 1.059625  deg : -0.893292
x : 3.538121  y : 1.058746  deg : -1.098667
x : 3.516579  y : 1.050037  deg : -2.181348
x : 3.471732  y : 1.039391  deg : -2.427398
x : 3.472466  y : 1.039452  deg : -2.430151
x : 3.437176  y : 1.057449  deg : -2.798134
x : 3.355398  y : 0.600004  deg : 2.639116
x : 3.468665  y : 1.024994  deg : -0.495880
x : 3.510360  y : 1.006811  deg : -0.389588
x : 3.477414  y : 1.053924  deg : -0.617854
x : 3.435315  y : 1.043324  deg : -1.374610
x : 3.464332  y : 1.017538  deg : 0.355541
x : 3.502245  y : 1.013377  deg : 0.552857
x : 3.465522  y : 1.017634  deg : -0.898830
x : 3.467685  y : 1.162173  deg : -3.131884
x : 3.486488  y : 1.137208  deg : -2.891695
x : 3.486651  y : 1.130475  deg : -2.811785
x : 3.465603  y : 1.128555  deg : -2.976244
x : 3.461667  y : 1.114659  deg : -3.049249
x : 3.466305  y : 1.108277  deg : -2.486755
x : 3.460618  y : 1.094089  deg : -2.801062
x : 3.458307  y : 1.080118  deg : -2.877721
x : 3.480686  y : 1.075132  deg : -2.131760
x : 3.464155  y : 1.087531  deg : -3.232925
x : 3.402238  y : 1.108986  deg : -4.810791
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.445568  y : 1.051214  deg : -3.996901
x : 3.435005  y : 1.071124  deg : -3.954929
x : 3.440614  y : 1.050781  deg : -3.978096
x : 3.431698  y : 1.056961  deg : -5.277206
x : -nan  y : -nan  deg : -nan
x : 3.486554  y : 1.026430  deg : -4.312068
x : 3.507794  y : 1.028085  deg : -4.140695
x : 3.497922  y : 0.888302  deg : -2.161621
x : 3.519812  y : 0.874606  deg : -1.796153
x : 3.571071  y : 1.018321  deg : -3.198683
x : 3.577306  y : 1.025943  deg : -3.810051
x : 3.577275  y : 1.018740  deg : -4.221377
x : 3.621162  y : 0.992435  deg : -2.519977
x : 3.678593  y : 0.988283  deg : -1.631717
x : 3.658902  y : 0.851357  deg : 0.154223
x : 3.684264  y : 1.003301  deg : -1.837381
x : 3.662262  y : 0.843775  deg : -0.257682
x : 3.667305  y : 0.843993  deg : -0.522959
x : 3.670660  y : 0.820822  deg : -0.735582
x : 3.686330  y : 0.813640  deg : -0.681572
x : 3.743571  y : 1.028238  deg : -0.080921
x : 3.750320  y : 0.954378  deg : -3.407281
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 3.628252  y : 0.803407  deg : -2.913201
x : 3.655269  y : 0.835723  deg : -2.138036
x : 3.713120  y : 1.034028  deg : 2.188870
x : 3.679483  y : 0.821181  deg : -1.511586
x : 3.682644  y : 0.844640  deg : -1.569436
x : -nan  y : -nan  deg : -nan
x : 3.665854  y : 0.987610  deg : -4.836653
x : 3.673637  y : 0.852000  deg : -2.140819
x : 3.676371  y : 0.836622  deg : -2.201381
x : 3.684204  y : 0.844705  deg : -2.074163
x : 3.739083  y : 0.976359  deg : -3.406117
x : 3.719936  y : 0.846115  deg : -1.182479
x : 3.693204  y : 0.868260  deg : -2.648177
x : 3.687522  y : 0.860312  deg : -3.032034
x : 3.727454  y : 0.815162  deg : -1.551690
x : 3.801858  y : 0.956359  deg : -2.083278
x : 3.811512  y : 0.956697  deg : -2.116267
x : 3.802137  y : 0.956369  deg : -2.584231
x : 3.799140  y : 0.948709  deg : -2.976010
x : 3.808388  y : 0.933858  deg : -3.059912
x : 3.805362  y : 0.948927  deg : -2.997105
x : 3.817515  y : 0.926539  deg : -3.490913
x : 3.798039  y : 0.956222  deg : -3.570228
x : 3.755740  y : 0.816114  deg : -2.634361
x : 3.744130  y : 0.823575  deg : -2.452226
x : 3.759816  y : 0.808379  deg : -2.293744
x : 3.786122  y : 0.824910  deg : -1.826172
x : 3.801214  y : 0.825348  deg : -1.120739
x : 3.874031  y : 1.062698  deg : -4.443366
x : 3.845848  y : 0.842227  deg : -0.960997
x : 3.820734  y : 0.857207  deg : -2.091141
x : 3.789659  y : 0.871822  deg : -2.948723
x : 3.803425  y : 0.856708  deg : -2.788088
x : 3.831989  y : 0.880838  deg : -2.182906
x : 3.854488  y : 0.881441  deg : -2.003772
x : 3.887867  y : 0.874460  deg : -1.755322
x : 3.886348  y : 0.889964  deg : -1.207458
x : -nan  y : -nan  deg : -nan
x : 3.919723  y : 0.929242  deg : -2.329724
x : 3.924876  y : 0.882985  deg : -1.725686
x : 3.950114  y : 0.891194  deg : -0.410373
x : 4.025586  y : 1.080995  deg : -2.965707
x : 4.030203  y : 1.059057  deg : -2.937403
x : 4.030272  y : 1.044280  deg : -2.738363
x : 4.031111  y : 1.036871  deg : -2.891260
x : 4.030621  y : 1.044285  deg : -4.239664
x : 4.001203  y : 1.043845  deg : -4.880010
x : 4.065064  y : 0.992224  deg : -3.902526
x : 4.101229  y : 1.037470  deg : -2.151190
x : 4.121285  y : 1.059810  deg : -2.532314
x : 4.218371  y : 1.312117  deg : -6.885318
x : 4.151735  y : 1.030059  deg : -2.484992
x : 4.226831  y : 1.258601  deg : -5.946947
x : 4.233666  y : 1.244943  deg : -5.541048
x : 4.243052  y : 1.210376  deg : -4.857388
x : 4.250070  y : 1.251676  deg : -3.458320
x : 4.296993  y : 1.131654  deg : -6.243360
x : 4.250965  y : 1.189313  deg : -4.350685
x : 4.269740  y : 1.139286  deg : -4.483580
x : 4.256018  y : 1.125032  deg : -4.225034
x : 4.300541  y : 1.073127  deg : -5.426219
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 4.777702  y : 1.004958  deg : -6.571454
x : 4.755500  y : 0.743808  deg : -1.912053
x : 4.605136  y : 1.226393  deg : -1.112226
x : 4.884933  y : 1.040182  deg : -5.465177
x : 4.828714  y : 1.153712  deg : -2.491361
x : 4.895712  y : 0.781018  deg : -3.122133
x : 4.895353  y : 0.835433  deg : -4.061037
x : 4.926131  y : 0.832791  deg : -3.909021
x : 4.996395  y : 1.021563  deg : -5.533797
x : 4.996626  y : 0.810991  deg : -3.611003
x : 5.029832  y : 0.861247  deg : -2.920343
x : 5.082110  y : 0.817830  deg : -2.907183
x : 5.112871  y : 0.837298  deg : -3.422723
x : 5.086900  y : 1.321478  deg : 1.099385
x : 5.244240  y : 1.317615  deg : 3.196079
x : 5.302372  y : 0.982189  deg : -3.506229
x : 5.304662  y : 1.142820  deg : -2.976876
x : 5.277820  y : 1.112746  deg : -2.233275
x : 5.302519  y : 1.149982  deg : -2.839370
x : 5.328540  y : 1.186157  deg : -3.691744
x : 5.387010  y : 1.067248  deg : -6.217039
x : 5.410222  y : 0.986498  deg : -6.102841
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 5.488032  y : 1.157097  deg : -2.732377
x : 5.496152  y : 1.155505  deg : -3.022925
x : 5.474294  y : 1.225149  deg : -1.376716
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : -nan  y : -nan  deg : -nan
x : 5.553639  y : 1.137333  deg : -3.184095
x : 5.509920  y : 1.152781  deg : -3.091745
x : 5.509696  y : 1.017770  deg : -4.729487
x : 5.514232  y : 1.051190  deg : -5.922694
x : 5.497044  y : 1.033879  deg : -5.693723
x : 5.491537  y : 1.143149  deg : -2.499550
x : 5.482669  y : 1.138210  deg : -2.580091
x : 5.434485  y : 1.120411  deg : -3.341844
x : 5.423611  y : 0.963093  deg : -6.496503
x : 5.357547  y : 0.858342  deg : -2.995233
x : 5.398556  y : 0.960106  deg : -6.007421
x : 5.408216  y : 1.042824  deg : -5.667768
x : 5.472898  y : 1.392178  deg : 2.149674
x : 5.367872  y : 1.111792  deg : -2.148851
x : 5.351831  y : 1.107656  deg : -2.198209
x : 5.360241  y : 0.959059  deg : -5.966746
x : 5.314698  y : 1.127514  deg : -2.276725
x : 5.378591  y : 1.054801  deg : -2.418832
x : 5.355069  y : 1.141224  deg : -1.339033
x : 5.324286  y : 1.119089  deg : -0.446605
x : 5.436639  y : 1.296141  deg : 2.176958
x : 5.281239  y : 1.139741  deg : -1.494080
x : 5.217022  y : 1.176953  deg : -1.924055
x : 5.210482  y : 1.108982  deg : -2.680466
x : 5.264371  y : 1.269377  deg : 1.607918
x : 5.364313  y : 1.290790  deg : 2.157351
x : 5.377029  y : 1.275744  deg : 2.562927
x : 5.286484  y : 1.055591  deg : -1.256642
x : 5.272939  y : 1.071707  deg : -1.204325
x : 5.296713  y : 1.283425  deg : 2.603283
x : 5.281517  y : 1.292386  deg : 2.573259
x : 5.231369  y : 1.063813  deg : -1.768672
x : 5.222087  y : 1.058078  deg : -1.601316
x : 5.135249  y : 1.069993  deg : -1.730817
x : 5.126941  y : 1.063940  deg : -2.320406
x : 5.117247  y : 1.072330  deg : -1.904256
x : 5.097907  y : 1.081923  deg : -1.695843
x : 5.077911  y : 1.091543  deg : -1.733116
x : 5.132595  y : 1.249750  deg : 0.950170
x : 5.111707  y : 1.245951  deg : 0.915602
x : 5.043198  y : 1.117064  deg : -1.946294
x : 5.085358  y : 1.262792  deg : 1.074946
x : 5.070634  y : 1.271346  deg : 1.039135
x : 5.016689  y : 1.162377  deg : -2.537209
x : 5.018557  y : 1.148169  deg : -2.561956
x : 5.010779  y : 1.142055  deg : -2.659739
x : 5.002296  y : 1.150060  deg : -2.739159
x : 4.988124  y : 1.130532  deg : -3.074035
x : 4.913157  y : 0.933204  deg : 1.179065
x : 5.022031  y : 1.069559  deg : -1.006111
x : 5.040863  y : 1.052953  deg : -0.087145
x : 5.012969  y : 1.099283  deg : -1.204552
x : 4.964515  y : 1.097508  deg : -2.127930
x : 4.925606  y : 1.094395  deg : -2.094244
x : 4.921269  y : 1.102027  deg : -1.694747
x : 4.878772  y : 1.141952  deg : -1.595875
x : 4.851615  y : 1.123123  deg : -2.882831
x : 4.831949  y : 1.081582  deg : -4.600049
x : 4.793072  y : 1.156820  deg : -4.085652
x : 4.704785  y : 1.240593  deg : -3.130503
x : 4.697289  y : 1.241131  deg : -3.095805
x : 4.756370  y : 1.145596  deg : -6.452367
x : 4.716404  y : 1.198144  deg : -6.296414
x : 4.683665  y : 1.289597  deg : -4.249169
x : 4.746510  y : 1.271497  deg : -4.846067
x : 4.733706  y : 1.292651  deg : -5.091408
x : 4.696442  y : 1.308716  deg : -5.111164
x : 4.693369  y : 1.275461  deg : -4.593033
x : 4.718547  y : 1.293794  deg : -2.768064
x : 4.670330  y : 1.130379  deg : -6.251672
x : 4.651139  y : 1.153170  deg : -7.000986
x : 4.641955  y : 1.175101  deg : -6.536779
x : 4.585767  y : 1.084633  deg : -8.374004
x : 4.576151  y : 1.164767  deg : -6.287913
x : 4.535331  y : 1.094605  deg : -7.533073
x : 4.585619  y : 1.227498  deg : -4.523921
x : 4.591057  y : 1.254731  deg : -4.207165
x : 4.512160  y : 1.110320  deg : -7.658369
x : 4.504113  y : 1.196633  deg : -4.145939
x : 4.474462  y : 1.176688  deg : -3.207010
x : 4.384955  y : 1.056217  deg : -6.286916
x : 4.346735  y : 1.057272  deg : -6.390697
x : 4.331223  y : 1.065074  deg : -6.438416
x : 4.320673  y : 1.065312  deg : -6.647831
x : 4.331939  y : 1.101880  deg : -5.470185
x : 4.337121  y : 1.145265  deg : -6.362799
x : 4.308987  y : 1.124200  deg : -7.939560
x : 4.355746  y : 1.350089  deg : -4.078181
x : 4.354138  y : 1.413502  deg : -3.691329
x : 4.326850  y : 1.420030  deg : -3.886377
x : 4.111486  y : 0.732918  deg : -2.174039
x : 4.262545  y : 1.363958  deg : -3.549196
x : 4.239489  y : 1.389310  deg : -4.526604
x : 4.051843  y : 0.773396  deg : -3.083205
x : 4.145694  y : 1.196554  deg : -8.746742
x : 4.009407  y : 0.765175  deg : -2.354421
x : 4.106617  y : 1.118206  deg : 0.725580
x : 4.103407  y : 1.132576  deg : 1.043076
x : 4.086737  y : 1.146719  deg : 0.667628
x : 4.070250  y : 1.153631  deg : 0.889683
